Region,SAU(ha),Superficie_Irriguee (ha),Cheptel_bovin,Cheptel_ovin,Cheptel_caprin,Volaille,Filieres_Agricoles
Tanger Tetouan Al Hoceima,729149,66174,356180.0,2020,470000,2008,"Filière Avocatier,Filière Apicole, Filière laitière, Filière petits fruits rouges"
Oriental,889450,181388,123400.0,20,960000,2008,"Filière viandes rouges, Filière sucrière ,Filière palmier Dattier, Filière Agrumicole , Filière oléicole, Filière Amandier"
Fes Meknes,3,193542,426370.0,20,423900,2008,"Filière oléicole, Filière des rosacées, Filière Viandes rouges"
Rabat Sale Kenitra,942980,208000,603649.0,7,158925,2008,"Filière Rizicole, Filière petits fruits rouges, Filière Laitière, Filière sucrière, Filière Agrumicole"
Beni Mellal Khenifra,994463,226293,378000.0,23,23,2008," Filière Laitière,Filière oléicole,Filière Viandes rouges,Filière sucrière, Filière Agrumicole,"
Casablanca Settat,1263042,168238,768490.0,2560344,88100,2008,"Filière  maraichère, Filière sucrière, Filière céréalière, Filière Viandes rouges,Filière Laitière, Filière Avicole"
Marrakech Safi,2055977,345032,471000.0,7,793000,2008,"Filière Laitière,Filière oléicole,Filière Viandes rouges, Filière Agrumicole,Filière Céréalière"
Draa Tafilalet,270910,201922,84518.0,10,650800,2008,"Filière Pommier,  Filière palmier dattier, Filière Oleicole,Filière Safran,Filière Rose à parfum"
Souss Massa,453445,174862,149800.0,149800,1128000,2008," Filière Laitière,Filière Viandes rouges, Filière Agrumicole,  Filière Maraichère de primeurs"
Guelmim Oued Noun,164099,36602,,214833,242784,2008,"Filière Maraichère,Filière Viandes rouges, Filière Apicole,Filière Oleicole, Filière palmier dattier, Filière arganier, Filière Cactus"
Laayoune Sakia El Hamra,136000,5543,,23,23,2008,"Filière couscous, Filière lait de vache, Filière lait de chamelle, Filière"
Dakhla Oued Ed Dahab,100000,1152,,40000,30000,2008,"Filière Avicole, Filière Cameline, Filière Maraichère de primeurs"
